City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
albany,au,42.65,-73.75,39.49,60,90,8.05
port alfred,za,-33.59,26.89,71.32,87,56,11.01
pervomayskoye,ru,57.07,86.23,21.1,87,36,9.66
bluff,nz,-23.58,149.07,77.08,74,0,8.21
port macquarie,au,-31.43,152.91,71.6,73,40,10.29
spassk-dalniy,ru,44.6,132.82,19.3,71,0,5.75
caravelas,br,-17.73,-39.27,83.56,100,0,12.24
faanui,pf,-16.48,-151.75,83.92,96,56,19.17
severo-kurilsk,ru,50.68,156.12,21.15,100,32,8.77
kodiak,us,39.95,-94.76,36.14,44,1,8.05
san patricio,mx,-26.98,-56.83,95.44,50,0,3.18
saravan,la,39.72,45.65,30.97,73,0,1.83
hermanus,za,-34.42,19.24,72.85,58,76,7.99
anzio,it,41.45,12.63,50.27,81,0,3.36
ushuaia,ar,-54.81,-68.31,43.84,78,40,18.34
nishihara,jp,35.74,139.53,39.27,49,20,16.11
saint-philippe,re,45.36,-73.48,35.6,80,90,19.46
abu zabad,sd,12.35,29.25,72.13,36,44,5.41
bambous virieux,mu,-20.34,57.76,78.8,88,20,2.24
cabo san lucas,mx,22.89,-109.91,68.13,42,5,11.41
kirakira,sb,-10.46,161.92,82.03,100,56,15.26
puerto ayora,ec,-0.74,-90.35,87.8,62,20,13.87
ribeira grande,pt,38.52,-28.7,50,87,75,23.04
geraldton,au,49.72,-86.95,24.8,58,75,3.36
nawa,sy,27.02,75,67.09,63,56,9.66
ilulissat,gl,69.22,-51.1,17.6,78,75,14.99
kieta,pg,-6.22,155.63,78.34,93,8,3.74
cayenne,gf,4.94,-52.33,84.2,62,90,12.75
dingle,ie,11.0,122.67,74.38,80,32,11.9
jamestown,sh,-33.21,138.6,52.33,83,0,7.43
komsomolskiy,ru,67.55,63.78,-0.19,73,80,4.52
mar del plata,ar,-46.43,-67.52,61.69,40,0,7.99
vestmannaeyjar,is,63.44,-20.27,46.4,93,20,25.28
geraldton,ca,49.72,-86.95,24.8,58,75,3.36
ahipara,nz,-35.17,173.16,66.6,100,92,17.05
vostok,ru,46.45,135.83,11.92,81,88,2.17
leningradskiy,ru,69.38,178.42,-4.69,81,44,3.62
bethel,us,60.79,-161.76,22.14,92,1,9.17
tromso,no,69.65,18.96,9.68,73,75,13.87
maceio,br,-9.67,-35.74,86,58,20,16.11
carnarvon,au,-30.97,22.13,76.05,24,36,3.06
raub,my,3.79,101.85,73.12,87,32,1.61
cape town,za,-33.93,18.42,68,77,0,13.87
lake havasu city,us,34.47,-114.34,42.13,86,75,4.97
severnoye,ru,54.09,52.54,27.18,90,92,15.26
berlevag,no,70.86,29.09,23.52,100,90,34.45
roma,au,41.89,12.48,49.96,81,0,3.36
east london,za,-33.02,27.91,71.6,83,75,9.17
thinadhoo,mv,0.53,72.93,83.43,100,88,7.09
te anau,nz,-45.41,167.72,47.83,89,0,8.66
punta arenas,cl,-53.16,-70.91,49.03,31,40,14.99
taoudenni,ml,22.68,-3.98,74.02,16,0,6.64
marietta,us,33.95,-84.55,55.81,100,90,2.73
mut,tr,36.64,33.44,39.64,89,32,2.28
nikolskoye,ru,59.7,30.79,19.4,62,75,15.66
faya,td,18.39,42.45,59.07,82,20,12.75
tazovskiy,ru,67.47,78.7,-17.51,76,20,9.78
cherskiy,ru,68.75,161.3,-30.34,0,24,1.83
atuona,pf,-9.8,-139.03,78.93,100,100,11.9
balad,iq,-6.76,108.42,80.86,100,0,3.62
barrow,us,-38.31,-60.23,84.82,54,20,8.43
dubbo,au,-32.25,148.6,66.2,72,0,8.05
ponta do sol,cv,-20.63,-46,78.97,79,64,4.29
eichenzell,de,50.5,9.7,40.68,93,8,5.64
sao filipe,cv,14.9,-24.5,74.2,86,0,9.78
parit buntar,my,5.13,100.49,81.46,83,75,2.24
alice springs,au,-23.7,133.88,68,20,0,6.93
hilo,us,19.71,-155.08,75.2,64,20,2.84
saint george,bm,39.45,22.34,42.69,58,0,3.51
souillac,mu,45.6,-0.6,56.21,54,0,4.7
tuktoyaktuk,ca,69.44,-133.03,-11.21,76,40,9.17
port hardy,ca,50.7,-127.42,35.6,80,75,9.17
upernavik,gl,72.79,-56.15,2.92,100,64,15.7
georgetown,sh,6.8,-58.16,86,62,75,18.34
hamilton,bm,32.3,-64.78,66.2,72,75,21.92
los llanos de aridane,es,28.66,-17.92,64.4,77,20,10.29
denpasar,id,-8.65,115.22,80.6,83,20,3.36
saskylakh,ru,71.97,114.09,-14.41,64,44,14.25
san cristobal,ec,-0.39,-78.55,68.16,63,75,19.46
trairi,br,-3.28,-39.27,80.5,100,32,4.63
tiksi,ru,71.64,128.87,-9.91,68,68,16.15
thompson,ca,55.74,-97.86,-2.21,64,75,3.36
chokurdakh,ru,70.62,147.9,-33.08,0,12,2.95
khatanga,ru,71.98,102.47,-16.79,73,32,12.12
pevek,ru,69.7,170.27,-19.13,82,8,1.39
nhulunbuy,au,-12.18,136.78,82.4,88,40,9.17
yangambi,cd,0.77,24.47,72.18,99,80,2.39
adrar,dz,27.87,-0.29,71.6,17,0,9.17
ostrovnoy,ru,68.05,39.51,15.97,81,8,10
chuy,uy,-33.69,-53.46,91.93,63,8,9.22
upington,za,-28.46,21.24,87.8,22,12,3.36
karoi,zw,-16.82,29.68,73.48,72,20,4.41
tura,ru,25.52,90.21,62.55,72,0,5.64
el cobre,cu,20.05,-75.95,84.2,54,20,11.41
santiago de las vegas,cu,22.97,-82.39,84.2,54,40,6.93
clyde river,ca,70.47,-68.59,-16.61,62,5,13.87
vilcun,cl,-38.65,-72.23,75.2,53,75,3.36
pisco,pe,-13.71,-76.2,71.6,30,0,19.46
sterling,us,39.0,-77.4,51.69,61,1,3.36
khorramshahr,ir,30.43,48.18,64.4,39,0,2.24
mahalapye,bw,-23.11,26.83,70.51,78,44,11.45
seoul,kr,37.57,126.98,26.38,92,1,1.12
agadez,ne,16.97,7.99,87.8,20,0,4.85
cuamba,mz,-14.8,36.54,72.31,92,68,3.29
smithers,ca,54.78,-127.17,17.6,78,90,3.36
weston,us,41.2,-73.38,48.34,57,40,8.05
tabora,tz,-5.02,32.81,75.2,64,20,8.21
vardo,no,39.62,-77.74,50.77,40,1,5.82
harper,lr,30.3,-99.24,53.04,66,90,5.82
kotturu,in,14.82,76.23,74.07,51,0,8.32
lorengau,pg,-2.02,147.27,83.92,92,88,18.95
kapaa,us,22.08,-159.32,68.56,77,1,4.7
muros,es,42.77,-9.06,53.67,81,0,5.82
homer,us,59.64,-151.54,23.16,85,1,3.36
rawson,ar,-43.3,-65.11,64.21,31,92,9.22
tolmachevo,ru,55.36,38.22,19.4,79,75,29.08
tingo maria,pe,-9.29,-76.01,77,78,90,1.28
necochea,ar,-38.55,-58.74,71.37,97,92,4.63
itarema,br,-2.92,-39.92,83.52,88,68,8.21
henties bay,na,-22.12,14.28,71.28,77,0,6.64
dongsheng,cn,29.72,112.52,29.47,86,0,2.95
farmington,us,36.73,-108.21,30.38,51,90,13.87
rocha,uy,-34.48,-54.34,95.62,38,24,10.22
monamon,ph,16.88,120.88,57.46,93,12,2.51
winona,us,43.21,-79.65,37.38,64,75,17.22
verkh-suetka,ru,53.3,80.05,15.97,83,68,11.45
dikson,ru,73.51,80.55,-0.14,75,44,19.17
marsh harbour,bs,26.54,-77.06,76.72,97,0,11.45
new plymouth,nz,-39.06,174.08,67.09,96,92,8.99
sabang,id,13.72,123.58,74.43,99,92,8.21
grand gaube,mu,-20.01,57.66,78.8,88,20,2.24
nome,us,30.04,-94.42,54.45,93,90,8.05
matara,lk,-13.74,-72.9,55.4,62,40,13.87
yining,cn,29.04,114.56,36.58,95,64,2.17
greencastle,us,39.64,-86.86,41.04,56,1,6.42
iquitos,pe,-3.75,-73.25,42.8,319,75,6.93
lazaro cardenas,mx,28.39,-105.62,61.96,36,0,9.33
volkhov,ru,59.92,32.34,19.53,63,68,13.02
the pas,ca,53.82,-101.24,-0.41,64,1,3.36
roald,no,62.58,6.12,43.43,87,75,10.29
torbay,ca,47.66,-52.73,14,51,40,24.16
belmonte,br,40.36,-7.35,52.92,69,36,6.53
coquimbo,cl,-29.95,-71.34,73.4,60,0,14.99
alta floresta,br,-9.87,-56.08,89.6,59,75,3.36
ken caryl,us,39.58,-105.11,27.12,39,1,9.17
vega de alatorre,mx,20.03,-96.65,74.7,75,8,2.06
laguna,br,27.52,-110.01,64.8,35,0,3.51
talnakh,ru,69.49,88.39,-6.49,72,48,3.96
yumen,cn,40.29,97.04,15.79,61,12,7.31
uzhur,ru,55.32,89.85,16.24,74,68,4.97
aswan,eg,24.09,32.9,57.82,48,12,9.22
karlskoga,se,59.33,14.52,28.4,86,90,10.29
butaritari,ki,3.07,172.79,82.12,100,80,15.7
kuryk,kz,43.18,51.68,43.2,84,92,16.49
sterlitamak,ru,53.63,55.95,25.2,89,92,17.72
sinnamary,gf,5.38,-52.96,80.68,89,88,10.78
bandarbeyla,so,9.49,50.81,77.85,100,88,15.14
zatoka,ua,50.04,20.52,41,86,75,17.22
bandipur,in,11.67,76.63,67,66,0,2.28
suket,in,24.65,76.04,67,46,0,4.74
dudinka,ru,69.41,86.18,-8.74,65,64,4.41
yerbogachen,ru,61.28,108.01,21.87,89,88,4.63
qaanaaq,gl,77.48,-69.36,-12.16,73,0,5.86
nurota,uz,40.56,65.69,32,85,0,13.87
bereda,so,43.27,-7.54,59,62,0,8.05
lavumisa,sz,-27.31,31.88,80.6,69,88,9.17
umm lajj,sa,25.02,37.27,64.21,100,0,11.23
port elizabeth,za,39.31,-74.98,49.3,76,1,9.17
lagoa,pt,37.14,-8.45,59,87,0,10.29
tessalit,ml,20.2,1.01,72.85,15,20,7.2
hampton,us,42.74,-93.2,18.93,73,1,10.29
north bend,us,43.41,-124.22,39.2,86,1,4.7
northam,gb,51.04,-4.21,48.96,87,0,4.7
salalah,om,17.01,54.1,75.2,60,0,1.12
la sarre,ca,48.8,-79.2,21.28,87,56,8.99
sitka,us,37.17,-99.65,42.07,65,92,14.81
zabaykalsk,ru,49.64,117.33,10.12,56,0,6.98
bilma,ne,18.69,12.92,69.88,21,24,6.76
tasiilaq,gl,65.61,-37.64,33.8,87,92,46.08
dwarka,in,28.58,77.04,69.8,73,40,8.88
shingu,jp,33.72,135.99,47.11,100,44,6.2
porto de moz,br,-1.75,-52.24,86.62,75,24,5.19
mahajanga,mg,-15.72,46.32,82.4,88,20,4.7
ancud,cl,-41.87,-73.83,51.8,66,0,5.82
garowe,so,8.41,48.48,78.79,47,0,14.47
lebu,cl,8.96,38.73,64.4,52,75,11.41
yulara,au,-25.24,130.99,75.2,22,0,5.82
gao,ml,16.28,-0.04,83.25,16,36,8.43
elat,il,2.91,11.16,72,87,56,2.84
urucui,br,-7.23,-44.56,74.47,100,88,5.41
saint-augustin,ca,44.83,-0.61,53.42,58,0,4.7
kruisfontein,za,-34.0,24.73,68.17,83,8,11.23
nyurba,ru,63.29,118.35,-4.33,65,0,3.96
moranbah,au,-22.0,148.04,73.62,90,0,8.99
mayumba,ga,-3.44,10.65,74.38,100,92,6.98
hambantota,lk,6.12,81.12,77,88,20,12.75
fort saint james,ca,54.43,-124.25,10.8,71,36,2.51
trinidad,us,-33.52,-56.9,99.04,33,12,11.79
mala,pe,-12.66,-76.63,76.95,82,8,7.43
ishigaki,jp,24.34,124.16,75.37,96,8,17.16
simao,cn,22.76,100.79,50.58,75,0,2.06
saint anthony,ca,43.97,-111.68,21.72,48,1,5.82
westport,ie,53.8,-9.52,50,87,75,13.87
kualakapuas,id,-3.01,114.39,77.71,89,92,2.51
nuuk,gl,64.17,-51.74,17.6,92,90,16.11
lapeer,us,43.05,-83.32,36.82,44,1,18.34
pinawa,ca,50.15,-95.88,13.18,97,80,8.66
luderitz,na,-26.65,15.16,68.62,69,0,11.45
baykit,ru,61.68,96.39,22.23,82,92,2.62
muzhi,ru,65.4,64.7,-10.99,72,36,3.18
pishin,pk,30.58,67,19.03,94,0,2.62
grants pass,us,42.44,-123.33,31.93,74,90,5.82
luba,gq,17.32,120.7,62.23,78,88,3.18
baikunthpur,in,23.26,82.56,59.44,94,44,2.62
castro,cl,-42.48,-73.76,51.8,66,0,5.82
tuatapere,nz,-46.13,167.69,52.42,100,20,18.84
hudson bay,ca,52.86,-102.4,5.67,71,56,3.4
meulaboh,id,4.14,96.13,81.31,100,68,4.29
edson,ca,53.59,-116.44,8.6,65,1,3.36
waingapu,id,-9.65,120.26,72.13,97,32,2.73
oxapampa,pe,-10.58,-75.4,57.64,100,80,1.95
baruun-urt,mn,46.68,113.28,3.64,48,0,3.18
birao,cf,10.3,22.78,79.87,21,12,8.43
kaeo,nz,-35.1,173.78,65.97,91,92,12.68
igrim,ru,63.19,64.42,9.49,82,80,5.86
mackenzie,ca,55.34,-123.09,8.6,78,1,11.41
broome,au,52.47,1.45,50.86,87,0,5.82
kochinda,in,21.73,84.35,67.54,79,0,2.62
toropets,ru,56.5,31.64,17.73,75,68,20.51
nagato,jp,34.35,131.14,46.4,70,75,9.17
airai,pw,-8.93,125.41,68.13,91,20,1.39
ambulu,id,-8.35,113.61,76.77,100,68,2.84
talas,kg,38.69,35.55,39.2,55,40,1.28
chapais,ca,49.78,-74.86,17.6,72,75,8.05
praia da vitoria,pt,38.73,-27.07,55.4,71,75,23.87
xam nua,la,20.42,104.04,55.3,79,8,1.5
muravlenko,ru,63.79,74.5,0.58,62,64,12.46
belaya gora,ru,68.54,146.19,-38.3,0,0,2.95
udachnyy,ru,66.42,112.4,-5.54,66,44,3.74
nara,ml,34.68,135.8,44.6,92,90,12.75
sabha,ly,27.03,14.43,66.28,20,24,10.56
oktyabrskiy,ru,55.61,37.97,19.4,79,75,24.61
marzuq,ly,14.4,46.47,56.2,64,0,3.06
oktyabrskiy,ru,55.61,37.97,19.4,79,75,24.61
butembo,cd,0.12,29.29,65.02,92,8,2.06
goma,cd,-1.67,29.23,62.59,95,44,2.95
hovd,mn,63.83,10.7,33.8,80,90,9.17
basco,ph,40.33,-91.2,34.11,97,1,6.93
riyadh,sa,24.63,46.72,59,26,0,3.36
lavrentiya,ru,65.58,-170.99,25.42,92,80,25.77
fochabers,gb,57.61,-3.1,53.56,87,0,10.29
teya,ru,21.05,-89.07,89.6,43,75,18.34
manokwari,id,-0.87,134.08,81.45,97,8,11.79
baker city,us,44.77,-117.83,28.4,68,75,12.75
katangli,ru,51.71,143.23,10.75,100,76,11.9
port augusta,au,-32.49,137.76,64.4,82,0,8.05
codrington,ag,-28.95,153.24,72.86,88,90,12.75
boguchany,ru,58.38,97.46,28.35,92,80,4.85
lompoc,us,34.64,-120.46,51.51,53,75,8.05
kulhudhuffushi,mv,6.62,73.07,83.88,95,0,7.09
nouadhibou,mr,20.93,-17.03,68,52,0,10.29
dubti,et,11.74,41.09,81.9,51,0,10.45
digha,in,21.62,87.51,74.25,96,8,8.99
sechura,pe,-5.56,-80.82,85.54,66,8,7.87
kedougou,sn,12.56,-12.19,87.8,25,12,4.7
samoylovka,ru,51.19,43.71,22.99,86,64,14.25
manaus,br,-3.13,-59.98,75.2,94,75,8.05
poronaysk,ru,49.22,143.1,1.3,68,0,3.74
muriwai beach,nz,-36.82,174.45,68,94,92,11.41
college,us,64.86,-147.8,-6.4,83,40,2.62
amapa,br,15.09,-87.97,91.4,49,20,13.87
ahuimanu,us,21.44,-157.84,67.69,73,40,2.51
flin flon,ca,54.77,-101.88,-2.21,64,75,2.24
nanakuli,us,21.39,-158.15,67.68,73,40,5.64
acajutla,sv,13.59,-89.83,86.26,56,0,5.75
comodoro rivadavia,ar,-45.87,-67.48,57.91,87,0,6.2
bulgan,mn,48.81,103.53,-0.95,48,0,2.73
vila do maio,cv,15.13,-23.22,75.2,64,0,12.75
uglovskoye,ru,51.36,80.19,14.08,84,56,6.76
eenhana,na,-17.48,16.34,87.8,15,0,2.24
akdepe,tm,42.05,59.39,31.26,74,0,4.7
la ronge,ca,55.1,-105.3,-2.21,70,40,3.18
antsohihy,mg,-14.88,47.99,77.44,91,100,3.74
inyonga,tz,-6.72,32.06,67.05,93,24,2.28
guayaramerin,bo,-10.82,-65.36,84.2,70,0,5.82
pringsewu,id,-5.36,104.98,73.12,94,76,1.83
caucaia,br,-3.73,-38.66,86,70,40,9.17
kandi,bj,11.13,2.93,84.37,32,92,4.97
kitgum,ug,3.3,32.88,64.03,93,36,3.51
port lincoln,au,-34.72,135.86,63.22,99,0,12.46
tilichiki,ru,60.47,166.1,-29.26,0,8,3.62
robertsport,lr,6.75,-11.37,81.94,100,68,4.74
kohima,in,25.66,94.1,48.73,94,24,1.95
port-cartier,ca,50.03,-66.88,10.4,66,90,9.17
hofn,is,64.25,-15.21,43.87,89,88,13.91
the valley,ai,18.22,-63.06,81.32,61,40,13.87
zasheyek,ru,67.41,32.55,8.5,50,0,6.08
calvinia,za,-31.47,19.78,79.83,24,76,5.64
slave lake,ca,55.28,-114.77,10.4,72,1,10.29
richards bay,za,-28.77,32.06,74.74,77,36,11.34
imbituba,br,-28.24,-48.67,80.6,78,75,12.75
ngunguru,nz,-35.62,174.5,71.59,95,92,16.26
vila franca do campo,pt,37.72,-25.43,57.2,87,75,11.41
macenta,gn,8.55,-9.47,76.5,77,68,2.17
magistralnyy,ru,56.17,107.45,13.54,65,0,3.96
samastipur,in,25.86,85.78,68.22,64,20,7.65
durban,za,43.54,0.58,49.14,70,0,5.82
along,in,28.17,94.8,49.23,75,12,2.39
sungairaya,id,0.7,108.9,76.18,92,92,2.39
san quintin,mx,17.54,120.52,62.23,78,88,3.18
san andres,co,13.32,122.68,76.05,100,68,11.68
mulchen,cl,-37.72,-72.23,78.8,44,75,5.82
shimoda,jp,34.7,138.93,51.79,100,20,14.03
naron,es,43.52,-8.15,59,62,0,8.05
dana point,us,33.47,-117.7,52.02,66,75,11.41
victoria,sc,5.28,115.24,79.7,94,75,4.7
coahuayana,mx,18.62,-100.35,82.84,29,0,3.06
jishou,cn,28.26,109.7,31.23,85,12,2.73
cururupu,br,-1.82,-44.87,83.52,84,88,8.66
alyangula,au,-13.85,136.42,84.2,74,20,3.36
petropavlovsk-kamchatskiy,ru,53.05,158.65,-4.01,64,0,6.71
tanout,ne,14.97,8.88,81,21,92,2.62
pasni,pk,25.26,63.48,61.06,100,0,20.29
zhigalovo,ru,54.81,105.15,3.37,59,24,2.17
port shepstone,za,-30.74,30.45,74.43,83,80,13.24
ixtapa,mx,20.71,-105.21,75.2,53,75,4.7
constitucion,mx,23.99,-104.67,65.47,26,0,20.96
yeppoon,au,-23.13,150.74,78.8,69,40,5.82
pemba,mz,-12.97,40.52,82.4,88,20,2.24
margate,za,-43.03,147.26,55.4,66,75,9.17
jardim,br,-21.48,-56.15,88.65,72,32,4.29
asahikawa,jp,43.76,142.37,15.03,63,88,4.63
seymchan,ru,62.93,152.39,-29.98,47,32,1.16
namatanai,pg,-3.66,152.44,81.72,100,12,14.25
tateyama,jp,36.66,137.31,20.43,100,8,1.39
jumla,np,29.28,82.18,30.15,100,92,1.72
channel-port aux basques,ca,47.57,-59.14,18.13,100,76,14.14
le moule,gp,16.33,-61.35,82.4,54,75,16.11
gotsu,jp,35.01,132.22,36.22,99,56,4.41
tuscaloosa,us,33.21,-87.57,60.8,82,90,8.05
puerto ayacucho,ve,5.66,-67.63,95,41,20,4.7
makaryev,ru,57.88,43.81,31.72,96,92,4.63
tuy hoa,vn,13.08,109.3,70.69,99,0,1.72
belyy yar,ru,53.6,91.39,32,86,40,6.71
puga,mx,20.14,-98.07,69.43,87,24,3.74
iranshahr,ir,27.21,60.69,57.2,73,0,1.05
port alberni,ca,49.24,-124.81,37.4,79,75,3.36
parrita,cr,9.52,-84.33,86.9,28,0,6.93
lata,sb,30.78,78.62,39.55,100,92,1.72
ust-tsilma,ru,65.44,52.15,10.21,66,68,10.45
pervomayskoye,ru,57.07,86.23,21.1,87,36,9.66
aykhal,ru,65.95,111.51,-4.37,62,56,5.08
omboue,ga,-1.57,9.26,81.45,100,76,7.76
ngaoundere,cm,7.32,13.58,76.77,25,0,7.54
kishi,ng,9.08,3.85,90,29,12,4.85
shelton,us,47.22,-123.1,40.5,94,1,1.61
ilheus,br,-14.79,-39.05,88.93,70,20,6.93
marienburg,sr,52.12,9.98,48.58,93,75,9.17
islamkot,pk,24.7,70.18,69.3,60,20,8.99
saldanha,za,41.42,-6.55,53.41,56,0,8.43
vao,nc,59.1,26.19,16.42,72,0,10.56
verkhnyaya inta,ru,65.99,60.32,6.34,78,80,1.72
lamu,ke,0.57,122.3,71.82,100,20,3.18
bonfim,br,-20.33,-44.24,83.2,65,68,3.96
goderich,sl,43.74,-81.71,30.82,87,8,20.85
matamoros,mx,25.87,-97.51,62.53,82,90,4.7
ketchikan,us,55.34,-131.65,38.07,100,90,16.11
harrismith,za,-28.27,29.13,63.94,59,0,2.17
muroto,jp,33.37,134.14,41.58,100,88,10.33
gboko,ng,7.32,9,89.32,29,8,4.52
les escoumins,ca,48.35,-69.4,17.55,75,88,3.4
kidal,ml,18.44,1.41,75.46,13,24,7.31
maun,bw,-19.99,23.42,80.6,42,0,5.82
mehran,ir,33.12,46.17,35.6,80,0,4.7
luanda,ao,-8.83,13.24,84.2,74,75,16.11
santa vitoria do palmar,br,-33.52,-53.37,91.93,63,8,9.22
dunedin,nz,-45.87,170.5,57.15,72,80,11.12
huarmey,pe,-10.07,-78.15,82.53,52,48,4.63
hasaki,jp,35.73,140.83,33.94,100,75,6.93
bage,br,10.95,11.38,84.64,21,0,6.42
sheridan,us,39.65,-105.03,27.97,39,1,9.17
khombole,sn,14.76,-16.69,92.73,32,0,16.11
ivanteyevka,ru,55.97,37.92,19.4,79,75,24.61
axim,gh,4.87,-2.24,83.83,92,32,12.35
srednekolymsk,ru,67.46,153.71,-31.51,0,20,1.95
masvingo,zw,-20.08,30.83,67.18,70,0,7.65
hearst,ca,49.69,-83.67,17.41,72,80,5.08
teknaf,bd,20.86,92.31,66.46,84,0,4.18
puerto narino,co,-3.77,-70.38,87.8,70,40,5.82
taksimo,ru,56.36,114.84,16.38,68,24,2.62
acapulco,mx,16.86,-99.88,84.2,62,5,8.05
vila velha,br,-3.71,-38.6,86,70,40,9.17
semnan,ir,35.58,53.39,31.32,69,32,3.96
pacific grove,us,36.62,-121.92,49.91,50,40,10.29
gat,ly,14.69,-16.54,91.76,32,0,16.11
kaitangata,nz,-46.28,169.85,54.4,93,80,19.73
cam ranh,vn,11.92,109.15,78.8,88,20,4.7
zhigansk,ru,66.77,123.37,-13.73,63,68,6.31
tori fatehpur,in,25.45,79.13,64.66,89,0,5.53
taizhou,cn,32.48,119.91,38.65,100,92,5.41
abbotsford,ca,49.05,-122.33,40.3,41,20,12.75
riachao do dantas,br,-11.07,-37.73,91.57,45,0,11.01
taraz,kz,42.89,71.39,23,92,0,4.47
sorland,no,67.67,12.69,32.09,63,0,2.24
ofunato,jp,39.11,141.75,31.9,84,24,6.87
arlit,ne,18.74,7.39,73.12,48,0,3.96
lobez,pl,53.64,15.62,44.6,100,90,14.99
kaseda,jp,31.42,130.32,54.4,100,92,7.09
okhotsk,ru,59.36,143.24,-13.55,100,0,4.18
aklavik,ca,68.22,-135.01,-6.58,76,5,4.7
khandyga,ru,62.65,135.58,-38.53,0,0,2.39
kralendijk,an,12.15,-68.27,78.8,78,12,17.22
masuguru,tz,-11.38,38.46,76.27,98,44,5.64
talcahuano,cl,-36.72,-73.12,66.2,88,90,6.93
sindor,ru,62.87,51.9,15.93,76,76,11.23
gasa,bt,27.91,89.73,-12.88,43,8,1.72
angoche,mz,-16.23,39.91,83.07,100,44,10.56
nanortalik,gl,60.14,-45.24,26.86,100,80,30.47
lucapa,ao,-8.42,20.74,70.78,90,68,4.74
general roca,ar,-39.03,-67.58,86,27,40,9.17
adjumani,ug,3.38,31.79,69.16,92,56,2.39
rabo de peixe,pt,37.8,-25.58,57.2,87,75,11.41
binghamton,us,42.1,-75.91,38.57,55,1,11.41
sisimiut,gl,66.94,-53.67,5.89,83,56,1.16
duldurga,ru,50.67,113.59,6.75,50,0,3.06
tautira,pf,-17.73,-149.15,82.4,78,75,8.05
mkushi,zm,-13.61,29.4,71.23,78,76,7.76
tezu,in,27.93,96.16,48.19,74,0,1.95
elk point,ca,53.9,-110.9,3.2,71,75,4.7
sanford,us,35.48,-79.18,56.07,93,90,4.7
balsas,br,-7.53,-46.04,74.97,100,80,7.54
marquette,us,46.54,-87.4,28.4,74,90,8.05
constitucion,cl,23.99,-104.67,65.47,26,0,20.96
san marco in lamis,it,41.71,15.64,44.6,93,5,8.05
tulun,ru,54.56,100.58,13.54,76,0,3.74
coihaique,cl,-45.58,-72.07,53.51,37,75,6.93
iskateley,ru,67.68,53.15,5.13,59,36,11.23
de aar,za,-30.65,24.01,75.91,32,80,4.74
george,za,6.63,3.35,84.2,83,20,5.82
sheboygan,us,43.75,-87.71,25.72,62,1,12.75
iqaluit,ca,63.75,-68.52,-23.81,61,75,21.92
iwanai,jp,42.97,140.51,36.13,93,8,12.91
rondonopolis,br,-16.46,-54.64,88.51,67,76,7.76
bar harbor,us,44.39,-68.2,34.29,93,90,9.17
suileng,cn,47.25,127.08,11.52,62,12,2.95
emba,kz,34.81,32.42,52.84,81,40,9.17
haicheng,cn,40.85,122.74,11.92,55,0,3.51
mezokovacshaza,hu,46.4,20.92,39.78,64,0,4.7
voi,ke,-3.4,38.57,70.83,87,56,6.42
bangkalan,id,-7.05,112.74,77,100,40,4.7
japura,br,-0.42,102.29,75.55,95,80,1.95
